C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6046, col 18, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6050, col 31, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6054, col 18, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6055, col 18, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6058, col 31, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6065, col 28, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6069, col 28, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6108, col 26, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6113, col 7, Error - For a consistent UI use `new Setting(containerEl).setName(...).setHeading()` instead of creating HTML heading elements directly. (obsidianmd/settings-tab/no-manual-html-headings)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6113, col 42, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6114, col 7, Warning - Avoid setting styles directly via `element.style.color`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\main.ts: line 6115, col 15, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 93, col 40, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 96, col 22, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 113, col 22, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 114, col 22, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 116, col 33, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 120, col 22, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 123, col 33, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 143, col 9, Warning - Avoid setting styles directly via `element.style.marginTop`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
